Sex,Age,Year,Incidence,Population,Mortality
male,55 — 59,2011,1073,4402542,979
male,55 — 59,2012,1062,4480858,904
male,55 — 59,2013,1112,4587152,984
male,55 — 59,2014,1118,4649661,1001
male,55 — 59,2015,1175,4773461,1010
male,55 — 59,2016,1149,4900632,983
male,55 — 59,2017,1125,4947111,935
male,55 — 59,2018,1084,4912848,934
male,60 — 64,1993,1421,3377445,1553
male,60 — 64,1994,1321,3097324,1403
male,60 — 64,1995,1124,2909878,1165
male,60 — 64,1996,1178,2882629,1124
male,60 — 64,1997,1216,3005906,1158
male,60 — 64,1998,1289,3249308,1230
male,60 — 64,1999,1337,3506323,1238
male,60 — 64,2000,1254,3626026,1235
male,60 — 64,2001,1237,3570708,1236
male,60 — 64,2002,1061,3289283,1068
male,60 — 64,2003,979,2840853,949
male,60 — 64,2004,811,2320717,790
male,60 — 64,2005,654,1924755,637
male,60 — 64,2006,631,1773963,569
male,60 — 64,2007,724,1894077,582
male,60 — 64,2008,886,2196722,750
male,60 — 64,2009,1054,2605097,908
male,60 — 64,2010,1112,2833901,1006
male,60 — 64,2011,1289,3382732,1167
male,60 — 64,2012,1254,3523994,1165
male,60 — 64,2013,1351,3635352,1191
male,60 — 64,2014,1422,3686287,1254
male,60 — 64,2015,1376,3814403,1275
male,60 — 64,2016,1424,3887444,1225
male,60 — 64,2017,1439,3963518,1248
male,60 — 64,2018,1374,4055180,1171
male,65 — 69,1993,1399,2496999,1365
male,65 — 69,1994,1388,2722555,1420
male,65 — 69,1995,1421,2859230,1368
male,65 — 69,1996,1371,2881608,1375
male,65 — 69,1997,1327,2800402,1323
male,65 — 69,1998,1286,2636387,1244
male,65 — 69,1999,1020,2423364,1071
male,65 — 69,2000,975,2284098,969
male,65 — 69,2001,962,2260074,989
male,65 — 69,2002,987,2350314,970
male,65 — 69,2003,1063,2558274,1014
male,65 — 69,2004,1146,2741247,1097
male,65 — 69,2005,1162,2830491,1114
male,65 — 69,2006,1131,2805793,1056
male,65 — 69,2007,1028,2597674,1012
male,65 — 69,2008,895,2219267,876
male,65 — 69,2009,741,1826881,753
male,65 — 69,2010,651,1644173,631
male,65 — 69,2011,644,1473505,574
male,65 — 69,2012,673,1602836,571
male,65 — 69,2013,797,1877878,667
male,65 — 69,2014,952,2035610,861
male,65 — 69,2015,1178,2478849,1014
male,65 — 69,2016,1300,2799845,1128
male,65 — 69,2017,1346,2942496,1213
male,65 — 69,2018,1403,3054010,1188
male,70 — 74,1993,573,1015563,521
male,70 — 74,1994,641,1092084,608
male,70 — 74,1995,668,1209717,633
male,70 — 74,1996,762,1381256,687
male,70 — 74,1997,864,1599368,883
male,70 — 74,1998,971,1809593,870
male,70 — 74,1999,1052,1968872,979
male,70 — 74,2000,1043,2058758,975
male,70 — 74,2001,943,2053418,944
male,70 — 74,2002,881,1977736,883
male,70 — 74,2003,878,1898981,865
male,70 — 74,2004,704,1738722,683
male,70 — 74,2005,739,1636508,699
male,70 — 74,2006,763,1631379,705
male,70 — 74,2007,731,1716807,725
male,70 — 74,2008,815,1861634,737
male,70 — 74,2009,898,2008528,865
male,70 — 74,2010,943,2075235,873
male,70 — 74,2011,905,2142250,858
male,70 — 74,2012,850,1989729,788
male,70 — 74,2013,667,1708215,673
male,70 — 74,2014,593,1556336,515
male,70 — 74,2015,509,1318548,461
male,70 — 74,2016,486,1156592,426
male,70 — 74,2017,566,1193965,487
male,70 — 74,2018,637,1391573,597
male,75 — 79,1993,434,675798,412
male,75 — 79,1994,363,637575,317
male,75 — 79,1995,302,609267,301
male,75 — 79,1996,356,607038,318
male,75 — 79,1997,361,622053,339
male,75 — 79,1998,339,656286,317
male,75 — 79,1999,369,713392,325
male,75 — 79,2000,424,787799,395
male,75 — 79,2001,474,894021,399
male,75 — 79,2002,487,1027948,460
male,75 — 79,2003,546,1128810,540
male,75 — 79,2004,580,1222623,548
male,75 — 79,2005,606,1286956,570
male,75 — 79,2006,526,1308578,520
male,75 — 79,2007,575,1276123,558
male,75 — 79,2008,522,1205604,482
male,75 — 79,2009,440,1117140,453
male,75 — 79,2010,417,1080449,373
male,75 — 79,2011,491,1093467,431
male,75 — 79,2012,470,1179475,447
male,75 — 79,2013,546,1305068,501
male,75 — 79,2014,540,1369864,510
male,75 — 79,2015,611,1508547,585
male,75 — 79,2016,584,1541511,554
male,75 — 79,2017,564,1514304,512
male,75 — 79,2018,502,1332970,456
male,80 — 84,1993,201,448286,219
male,80 — 84,1994,195,455540,253
male,80 — 84,1995,193,447604,202
male,80 — 84,1996,192,418593,174
male,80 — 84,1997,175,386463,168
male,80 — 84,1998,174,358727,171
male,80 — 84,1999,149,340138,133
male,80 — 84,2000,144,331775,121
male,80 — 84,2001,139,332980,144
male,80 — 84,2002,164,337774,159
male,80 — 84,2003,161,336677,137
male,80 — 84,2004,174,364555,172
male,80 — 84,2005,182,409641,178
male,80 — 84,2006,213,472034,195
male,80 — 84,2007,235,546725,210
male,80 — 84,2008,241,617537,251
male,80 — 84,2009,253,668637,240
male,80 — 84,2010,254,686972,257
male,80 — 84,2011,288,732688,265
male,80 — 84,2012,252,722150,259
male,80 — 84,2013,220,690463,237
male,80 — 84,2014,219,666428,182
male,80 — 84,2015,238,647410,228
male,80 — 84,2016,242,647705,210
male,80 — 84,2017,264,691621,214
male,80 — 84,2018,270,783134,256
male,85,1993,89,190195,95
male,85,1994,96,198208,95
male,85,1995,97,209884,87
male,85,1996,92,223612,97
male,85,1997,101,237686,91
male,85,1998,90,251123,94
male,85,1999,112,261424,100
male,85,2000,99,264815,88
male,85,2001,92,258109,91
male,85,2002,72,256536,81
male,85,2003,66,183197,71
male,85,2004,60,183300,61
male,85,2005,59,182227,62
male,85,2006,69,186037,68
male,85,2007,72,192925,71
male,85,2008,61,206085,59
male,85,2009,75,227010,73
male,85,2010,87,239583,73
male,85,2011,101,267296,90
male,85,2012,103,308393,95
male,85,2013,114,353953,112
male,85,2014,122,372969,123
male,85,2015,139,412008,107
male,85,2016,123,453312,120
male,85,2017,120,470498,117
male,85,2018,136,486902,108
