Sex,Type,Age,Year,
male,incidence,age4044,2013,103
male,incidence,age4549,1993,315
male,incidence,age4549,1994,339
male,incidence,age4549,1995,354
male,incidence,age4549,1996,426
male,incidence,age4549,1997,407
male,incidence,age4549,1998,381
male,incidence,age4549,1999,323
male,incidence,age4549,2000,339
male,incidence,age4549,2001,339
male,incidence,age4549,2002,341
male,incidence,age4549,2003,353
male,incidence,age4549,2004,303
male,incidence,age4549,2005,295
male,incidence,age4549,2006,308
male,incidence,age4549,2007,280
male,incidence,age4549,2008,285
male,incidence,age4549,2009,276
male,incidence,age4549,2010,284
male,incidence,age4549,2011,251
male,incidence,age4549,2012,256
male,incidence,age4549,2013,243
male,incidence,age5054,1993,813
male,incidence,age5054,1994,639
male,incidence,age5054,1995,483
male,incidence,age5054,1996,448
male,incidence,age5054,1997,456
male,incidence,age5054,1998,495
male,incidence,age5054,1999,612
male,incidence,age5054,2000,648
male,incidence,age5054,2001,699
male,incidence,age5054,2002,649
male,incidence,age5054,2003,749
male,incidence,age5054,2004,710
male,incidence,age5054,2005,655
male,incidence,age5054,2006,682
male,incidence,age5054,2007,670
male,incidence,age5054,2008,698
male,incidence,age5054,2009,656
male,incidence,age5054,2010,694
male,incidence,age5054,2011,639
male,incidence,age5054,2012,652
male,incidence,age5054,2013,651
male,incidence,age5559,1993,1198
male,incidence,age5559,1994,1165
male,incidence,age5559,1995,1205
male,incidence,age5559,1996,1205
male,incidence,age5559,1997,1039
male,incidence,age5559,1998,870
male,incidence,age5559,1999,765
male,incidence,age5559,2000,603
male,incidence,age5559,2001,601
male,incidence,age5559,2002,601
male,incidence,age5559,2003,757
male,incidence,age5559,2004,918
male,incidence,age5559,2005,933
male,incidence,age5559,2006,984
male,incidence,age5559,2007,1079
male,incidence,age5559,2008,1078
male,incidence,age5559,2009,1068
male,incidence,age5559,2010,1107
male,incidence,age5559,2011,1073
male,incidence,age5559,2012,1062
male,incidence,age5559,2013,1112
male,incidence,age6064,1993,1421
male,incidence,age6064,1994,1321
male,incidence,age6064,1995,1124
male,incidence,age6064,1996,1178
male,incidence,age6064,1997,1216
male,incidence,age6064,1998,1289
male,incidence,age6064,1999,1337
male,incidence,age6064,2000,1254
male,incidence,age6064,2001,1237
male,incidence,age6064,2002,1061
male,incidence,age6064,2003,979
male,incidence,age6064,2004,811
male,incidence,age6064,2005,654
male,incidence,age6064,2006,631
male,incidence,age6064,2007,724
male,incidence,age6064,2008,886
male,incidence,age6064,2009,1054
male,incidence,age6064,2010,1112
male,incidence,age6064,2011,1289
male,incidence,age6064,2012,1254
male,incidence,age6064,2013,1351
male,incidence,age6569,1993,1399
male,incidence,age6569,1994,1388
male,incidence,age6569,1995,1421
male,incidence,age6569,1996,1371
male,incidence,age6569,1997,1327
male,incidence,age6569,1998,1286
male,incidence,age6569,1999,1020
