Sex,Type,Age,Year,
male,mortality,age4044,2013,83
male,mortality,age4549,1993,296
male,mortality,age4549,1994,325
male,mortality,age4549,1995,342
male,mortality,age4549,1996,411
male,mortality,age4549,1997,396
male,mortality,age4549,1998,389
male,mortality,age4549,1999,317
male,mortality,age4549,2000,312
male,mortality,age4549,2001,328
male,mortality,age4549,2002,316
male,mortality,age4549,2003,346
male,mortality,age4549,2004,267
male,mortality,age4549,2005,264
male,mortality,age4549,2006,256
male,mortality,age4549,2007,237
male,mortality,age4549,2008,230
male,mortality,age4549,2009,234
male,mortality,age4549,2010,233
male,mortality,age4549,2011,229
male,mortality,age4549,2012,219
male,mortality,age4549,2013,197
male,mortality,age5054,1993,825
male,mortality,age5054,1994,633
male,mortality,age5054,1995,487
male,mortality,age5054,1996,433
male,mortality,age5054,1997,397
male,mortality,age5054,1998,485
male,mortality,age5054,1999,524
male,mortality,age5054,2000,629
male,mortality,age5054,2001,631
male,mortality,age5054,2002,613
male,mortality,age5054,2003,720
male,mortality,age5054,2004,671
male,mortality,age5054,2005,624
male,mortality,age5054,2006,630
male,mortality,age5054,2007,568
male,mortality,age5054,2008,615
male,mortality,age5054,2009,625
male,mortality,age5054,2010,578
male,mortality,age5054,2011,591
male,mortality,age5054,2012,553
male,mortality,age5054,2013,563
male,mortality,age5559,1993,1234
male,mortality,age5559,1994,1196
male,mortality,age5559,1995,1220
male,mortality,age5559,1996,1255
male,mortality,age5559,1997,1032
male,mortality,age5559,1998,945
male,mortality,age5559,1999,765
male,mortality,age5559,2000,668
male,mortality,age5559,2001,557
male,mortality,age5559,2002,597
male,mortality,age5559,2003,626
male,mortality,age5559,2004,845
male,mortality,age5559,2005,874
male,mortality,age5559,2006,958
male,mortality,age5559,2007,948
male,mortality,age5559,2008,957
male,mortality,age5559,2009,989
male,mortality,age5559,2010,984
male,mortality,age5559,2011,979
male,mortality,age5559,2012,904
male,mortality,age5559,2013,984
male,mortality,age6064,1993,1553
male,mortality,age6064,1994,1403
male,mortality,age6064,1995,1165
male,mortality,age6064,1996,1124
male,mortality,age6064,1997,1158
male,mortality,age6064,1998,1230
male,mortality,age6064,1999,1238
male,mortality,age6064,2000,1235
male,mortality,age6064,2001,1236
male,mortality,age6064,2002,1068
male,mortality,age6064,2003,949
male,mortality,age6064,2004,790
male,mortality,age6064,2005,637
male,mortality,age6064,2006,569
male,mortality,age6064,2007,582
male,mortality,age6064,2008,750
male,mortality,age6064,2009,908
male,mortality,age6064,2010,1006
male,mortality,age6064,2011,1167
male,mortality,age6064,2012,1165
male,mortality,age6064,2013,1191
male,mortality,age6569,1993,1365
male,mortality,age6569,1994,1420
male,mortality,age6569,1995,1368
male,mortality,age6569,1996,1375
male,mortality,age6569,1997,1323
male,mortality,age6569,1998,1244
male,mortality,age6569,1999,1071
male,mortality,age6569,2000,969
male,mortality,age6569,2001,989
male,mortality,age6569,2002,970
male,mortality,age6569,2003,1014
male,mortality,age6569,2004,1097
male,mortality,age6569,2005,1114
male,mortality,age6569,2006,1056
male,mortality,age6569,2007,1012
male,mortality,age6569,2008,876
male,mortality,age6569,2009,753
male,mortality,age6569,2010,631
male,mortality,age6569,2011,574
male,mortality,age6569,2012,571
male,mortality,age6569,2013,667
male,mortality,age7074,1993,521
male,mortality,age7074,1994,608
male,mortality,age7074,1995,633
male,mortality,age7074,1996,687
male,mortality,age7074,1997,883
male,mortality,age7074,1998,870
male,mortality,age7074,1999,979
male,mortality,age7074,2000,975
male,mortality,age7074,2001,944
male,mortality,age7074,2002,883
male,mortality,age7074,2003,865
male,mortality,age7074,2004,683
male,mortality,age7074,2005,699
male,mortality,age7074,2006,705
male,mortality,age7074,2007,725
male,mortality,age7074,2008,737
male,mortality,age7074,2009,865
male,mortality,age7074,2010,873
male,mortality,age7074,2011,858
male,mortality,age7074,2012,788
male,mortality,age7074,2013,673
male,mortality,age7579,1993,412
male,mortality,age7579,1994,317
male,mortality,age7579,1995,301
male,mortality,age7579,1996,318
male,mortality,age7579,1997,339
male,mortality,age7579,1998,317
male,mortality,age7579,1999,325
male,mortality,age7579,2000,395
male,mortality,age7579,2001,399
male,mortality,age7579,2002,460
male,mortality,age7579,2003,540
male,mortality,age7579,2004,548
male,mortality,age7579,2005,570
male,mortality,age7579,2006,520
male,mortality,age7579,2007,558
male,mortality,age7579,2008,482
male,mortality,age7579,2009,453
male,mortality,age7579,2010,373
male,mortality,age7579,2011,431
male,mortality,age7579,2012,447
male,mortality,age7579,2013,501
male,mortality,age8084,1993,219
male,mortality,age8084,1994,253
male,mortality,age8084,1995,202
male,mortality,age8084,1996,174
male,mortality,age8084,1997,168
male,mortality,age8084,1998,171
male,mortality,age8084,1999,133
male,mortality,age8084,2000,121
male,mortality,age8084,2001,144
male,mortality,age8084,2002,159
male,mortality,age8084,2003,137
male,mortality,age8084,2004,172
male,mortality,age8084,2005,178
male,mortality,age8084,2006,195
male,mortality,age8084,2007,210
male,mortality,age8084,2008,251
male,mortality,age8084,2009,240
male,mortality,age8084,2010,257
male,mortality,age8084,2011,265
male,mortality,age8084,2012,259
male,mortality,age8084,2013,237
male,mortality,age85,1993,95
male,mortality,age85,1994,95
male,mortality,age85,1995,87
male,mortality,age85,1996,97
male,mortality,age85,1997,91
male,mortality,age85,1998,94
male,mortality,age85,1999,100
male,mortality,age85,2000,88
male,mortality,age85,2001,91
male,mortality,age85,2002,81
male,mortality,age85,2003,71
male,mortality,age85,2004,61
male,mortality,age85,2005,62
male,mortality,age85,2006,68
male,mortality,age85,2007,71
male,mortality,age85,2008,59
male,mortality,age85,2009,73
male,mortality,age85,2010,73
male,mortality,age85,2011,90
male,mortality,age85,2012,95
male,mortality,age85,2013,112
